Resgate;TEMPO;Tudo tem seu tempo determinado
Resgate;VIDA;Tantos morrem de fome em frente
Restart;LEVO COMIGO;Eu quis escrever uma canção
Restart;MENINA ESTRANHA;Eu conheci uma menina diferente
Restart;MINHA ESTRELA;Alguma coisa aconteceu
Restart;RECOMEÇAR;E eu sei
Restart;VOU CANTAR;Sei que os dias passaram
Ricardo & Eduardo;BEIJO, ME LIGA;Beijo me liga e a gente fica
Ricardo Braga;UMA ESTRELA VAI BRILHAR;Uma estrela vai brilhar no meu caminho...
Ricardo Chaves;ACABOU;Eu tenho andado meio preocupado
Ricardo Chaves;MIL CIDADES;Vai levar um tempo ainda para te esq
Ricardo Chaves;O BICHO;Quando o vento bater nos seus
Richard Marx;NOW AND FOREVER;Whenever I’m weary...
Richard Marx;RIGHT HERE WAITING;Oceans apart day after day…
Richie Valens;DONNA;Oh Donna Oh Donna...
Rick Astley;CRY FOR HELP;She's taken my time convinced me she's f
Rick Astley;NEVER GONNA GIVE YOU UP;We're no strangers to love…
Rick e Renner;BEBEDEIRA;Tô chegando no rodeio procurando
Rick e Renner;BERRANDO QUE NEM BOI;Oh meu Deus do céu pra onde é que ela
Rick e Renner;CARA DE PAU;Eu não tenho vergonha na cara...
Rick e Renner;COISA DE DEUS;Linda bem mais que linda
Rick e Renner;CREDENCIAL;Vou fazer de tudo pra te esquecer
Rick e Renner;DOIDINHO POR VOCÊ;Não precisa perguntar é só olhar você
Rick e Renner;É DEZ, É CE, É MIL;Você me parte de desejo...
Rick e Renner;ELA É DEMAIS;Ela tem um jeito lindo de me olhar
Rick e Renner;ENROSCA, ENROSCA;Se enrosca meu amor se enrosca...
Rick e Renner;ESCOLTA DE VAGALUMES;Voltando pra minha terra eu renasci
Rick e Renner;EU MEREÇO;Foi só uma noite e nada mais
Rick e Renner;EU SEM VOCÊ;Meus dias sem te ver são difíceis…
Rick e Renner;FAZ AMOR QUE PASSA;Estressado não tem graça
Rick e Renner;FILHA;Hoje eu parei pra escrever
Rick e Renner;FIM DE SEMANA;Do jeito que você me olha você me...
Rick e Renner;HOMEM CARENTE;Tô precisando tanto de um olhar assim
Rick e Renner;MÃE;Mãe hoje eu descobri que eu cresci
Rick e Renner;MINHA LUZ;Deus eu quero estar sempre contigo...
Rick e Renner;MULEKA;Gruda gruda na cintura da muleka...
Rick e Renner;NÃO QUERO, MAS EU TE AMO;Coração apaixonado não tem quem segu
Rick e Renner;NEGATIVO, POSITIVO;Às vezes quero que você se dane
Rick e Renner;NÓIS TROPICA MAIS NÃO CAI;Nóis tropica mais não cai…
Rick e Renner;NOS BARES DA CIDADE;Garçom me traga outra garrafa...
Rick e Renner;NOSSA SENHORA APARECIDA;Ó Senhora Aparecida rainha da minha
Rick e Renner;O AMOR E EU;O amor e eu somos mesmo parecidos...
Rick e Renner;O QUE É QUE ELA TEM!;Já sofri por ela já bebi por ela...
Rick e Renner;PASSE O TEMPO QUE PASSAR;Tudo que ficou depois que a gente ter
Rick e Renner;PRA FICAR DEZ;È pra remexer pra requebrar...
Rick e Renner;RIACHO SERENO;O riacho é sereno o caminho é tranq
Rick e Renner;SEGUIR EM FRENTE;Vou seguir em frente vou tentar...
Rick e Renner;SÓ PENSANDO EM VOCÊ;Recordações não param…
Rick e Renner;TCHAU SAUDADE;Mesmo com outra pessoa eu me sinto tã
Rick e Renner;TE AMO, PAI;Pai senta aqui comigo que eu quero ol
Rick e Renner;VEM ME NAMORAR;Você revolucionou a minha vida...
Rick e Renner;VOCÊ DECIDE;Se o seu coração está perdido
Rick e Renner;VOU GANHAR VOCÊ;Quando você chega ilumina tudo
Rick Sollo;DE VOLTA PRO MEU CORAÇÃO;Olha o sol chegando e você indo embora
Rick Vallen;DIZEM QUE EU MUDEI;Dizem que eu mudei que eu não era assim
Rick Vallen;PRA SER AMOR;Pra ser amor
Ricky Martin;LIVIN' LA VIDA LOCA;She's into superstition
Ricky Martin;LA COPA DE LA VIDA;La vida es pura pasion hay que
Ricky Martin;MARIA;Un, dos, tres
Ricky Martin with Meja;PRIVATE EMOTION (WITH MEJA);Every endless night has a dawning day
Righteous Brothers;UNCHAINED MELODY;Oh my love my darling
Rihanna;UNFAITHFUL;Story of my life searching for the right
Rinaldo e Uriel;EU NUNCA MAIS VOU TE ESQUECER;Se eu tivesse o coração que...
Rionegro e Solimões;A GENTE SE ENTREGA;Uma dose de saudade misturada...
Rionegro e Solimões;AJEITE O TREM AÍ;Ajeite o trem aí que o chão vai…
Rionegro e Solimões;BALANÇOU SACUDIU;A galera gritou quando o brete se
Rionegro e Solimões;BATE O PÉ;Alô galera bate a mão e bate o pé...
Rionegro e Solimões;BRETE DA SOLIDÃO;Hoje vou sair pro abraço quero...
Rionegro e Solimões;DE BEM COM A VIDA;De bem com a vida de bem com a vida...
Rionegro e Solimões;DE SÃO PAULO A BELÉM;Deu um arroxo no peito eu fiquei...
Rionegro e Solimões;ESTRELA GUIA;Eu não sei…
Rionegro e Solimões;EU DE CÁ VOCÊ DE LÁ;No final dessa história
Rionegro e Solimões;FALTA VOCÊ;O dia vai se acabando a tarde...
Rionegro e Solimões;FLORESCE;Um jeito meigo de olhar um modo simpl
Rionegro e Solimões;FRIO DA MADRUGADA;Sei que você quer voltar quem sou eu...
Rionegro e Solimões;LENHA;Eu não sei dizer o que quer dizer...
Rionegro e Solimões;MADRUGADA TRISTE;Onde anda você...
Rionegro e Solimões;MINHA SERENATA;Nesta rua deserta e calma
Rionegro e Solimões;MOÍDO DE PAIXÃO;Saudade tá no meu olhar
CANTOR;TÍTULO;INÍCIO DA LETRA
Rionegro e Solimões;O GRITO DA GALERA;Eu toquei o meu berrante pra chamar a
Rionegro e Solimões;ONDE ANDA VOCÊ;Hoje com os meus amigos o assunto foi
Rionegro e Solimões;ORVALHO DA SAUDADE;Saudade faz cair orvalho...
Rionegro e Solimões;SÓ ALEGRIA;Hoje omeu coração tá a fim de....
Rionegro e Solimões;SÓ EU SEI;Se é pra valer ou não
Rionegro e Solimões;SÓ LEMBRANÇAS;Pra quem vive de saudade...
Rionegro e Solimões;TÁ MENTINDO;Tá mentindo tá mentindo dizendo que...
Rionegro e Solimões;TEMPORAL DE LÁGRIMAS;Quando a saudade chega sofre…
Rionegro e Solimões;TÔ MAL;Se quer saber como estou
Rionegro e Solimões;TÔ POR AI;To por ai.....
Rionegro e Solimões;TRAZ MAIS UMA;Traz mais uma aê que aquela já acabo
Rionegro e Solimões;VIDA DE CÃO;Já faz tanto tempo que tudo acabou
Rionegro e Solimões;VIDA LOUCA;Eu não quero nem saber dessa vida lou
Rionegro e Solimões;NA SOLA DA BOTA;É na sola da bota é na palma da mão...
Rita de Cássia;CAMA VAZIA;Não faço rodeios não meço palavras
Rita Lee;AGORA SÓ FALTA VOCÊ;Um belo dia resolvi mudar…
Rita Lee;AMBIÇÃO;Eu saí pra estrada e não tenho pra
Rita Lee;AMOR E SEXO;Amor é um livro sexo é esporte...
Rita Lee;ARROMBOU A FESTA;Ai ai meu Deus o que foi que aconteceu
Rita Lee;BAILA COMIGO;Baila comigo como se baila na tribo
Rita Lee;BANHO DE ESPUMA;Que tal nós dois numa banheira
Rita Lee;CASO SÉRIO;Eu fico pensando em nóis dois
Rita Lee;CECY BOM (C'EST SI BON);Cecy bom
Rita Lee;COISAS DA VIDA;Quando a lua apareceu
Rita Lee;COISAS DE CASAL;Tive sorte de encontrar você...
Rita Lee;COR-DE-ROSA CHOQUE;As duas faces de Eva e Bela...
Rita Lee;DESCULPE O AUÊ;Desculpe o auê, eu não queria magoar
Rita Lee;DOCE VAMPIRO;Venha me beijar meu doce vampiro
Rita Lee;ESSE TAL DE ROQUE ENROW;Ela nem vem mais pra casa doutor
Rita Lee;FLAGRA;No escurinho do cinema
Rita Lee;JARDIM DA BABILÔNIA;Suspenderam os jardins da Babilônia...
Rita Lee;LANÇA PERFUME;Lança menina lança todo esse perfume
Rita Lee;LUZ DEL FUEGO;Eu hoje represento a loucura
Rita Lee;MANIA DE VOCÊ;Meu bem você me dá água na boca
Rita Lee;MEIO FIO;Onde quer que eu vá...
Rita Lee;MUTANTE;Juro que não vai doer se um dia eu ro
Rita Lee;NEM LUXO NEM LIXO;Como vai você? Assim como eu
Rita Lee;O AMOR EM PEDAÇOS;Vivemos sob o mesmo teto...
Rita Lee;OVELHA NEGRA;Levava uma vida sossegada
Rita Lee;PEGA RAPAZ;Pega rapaz meu cabelo à la garçon
Rita Lee;PRA VOCÊ EU DIGO SIM (IF I FEEL);Se eu me apaixonar vê se não vai...
Rita Lee;REZA;Deus me proteja da sua inveja
Rita Lee;SAÚDE;Me cansei de lero-lero
Rita Lee;SÓ DE VOCÊ;Será que a gente ainda será
Rita Lee;TUDO VIRA BOSTA;O ovo frito o caviar e o cozido...
Rita Lee e Zélia Duncan;PAGU;Mexo remexo na inquisição
Rita Lee-Roberto de Carvalho;BWANA;Bwana bwana me chama que eu vou
Rita Pavone;CHE M'IMPORTA DEL MONDO;Che m'importa del mondo
Rita Pavone;COME TE NON C'E NESSUNO;Come te non c'e nessuno tu sei l'unic
Rita Pavone;DATEMI UN MARTELO (REMIX);Datemi um martelo che cosa ne vuoi fare?
Rita Pavone;FORTISSIMO;Pianissimo
Rita Ribeiro;FILHOS DA PRECISÃO;Pelas marginais
Ritchie;A VIDA TEM DESSAS COISAS;Perdi a hora mas encontrei você aqui
Ritchie;CASANOVA;Boa noite rainha como vai
Ritchie;FALA;Eu não sei dizer nada por dizer
Ritchie;LÁGRIMAS DEMAIS;No seu mundo também bate o sol
Ritchie;MENINA VENENO;Meia-noite no meu quarto ela vai subir
Ritchie;PELO INTERFONE;Chamo por você ninguém atende
Ritchie;POR QUE FUI TE AMAR ASSIM;Sei que te perdi dessa vez pra nunca
Ritchie;TRANSAS;Tanto tempo faz que a gente transa
Ritchie;VÔO DE CORAÇÃO;No canto da sala o seu holograma
Robbie Williams;ADVERTISING SPACE;There's no earthly way of knowing...
Robbie Williams;ANGELS;I sit and wait
Robbie Williams;BETTER MAN;Send someone to love me I need to rest
Robbie Williams;BEYOND THE SEA;Somewhere beyond the sea somewhere waiti...
Robbie Williams;ROAD TO MANDALAY;Save me from drowning in the sea
Robbie Williams;SEXED UP;Loose lips on ships
Robbie Williams & Nicole Kidman;SOMETHIN' STUPID;I know I stand in line
Robert Plant;SEA OF LOVE;Do you remember when we met…
Roberta Campos e Nando Reis;DE JANEIRO A JANEIRO;Não consigo olhar no fundo dos seus
Roberta Flack;FEEL LIKE MAKING LOVE;Strollin' in the park
Roberta Flack;KILLING ME SOFTLY WITH HIS SONG;Strumming my pain with his fingers
Roberta Flack;THE CLOSER I GET TO YOU;The closer I get to you
Roberta Flack & Peabo Bryson;TONIGHT I CELEBRATE MY LOVE FOR YOU;Tonight I celebrate my love for you
Roberta Miranda;A MULHER EM MIM;Em meu coração os amores vem e
Roberta Miranda;AMANHÃ;Me prendeste numa redoma...
Roberta Miranda;ATRAÇÃO FATAL;Ai amor eu tô com medo dessa solidão...
Roberta Miranda;BOLERO NUNCA MAIS;Outra vez a saudade troxe você...
Roberta Miranda;DÓI;Dói sentir que o nosso amor aos
Roberta Miranda;É AMOR DEMAIS;Oh amor...
Roberta Miranda;EU TE AMO, TE AMO, TE AMO;Tanto tempo longe de você
Roberta Miranda;FAZ AMOR COMIGO;Teu sorriso iluminado fez revolução.......
Roberta Miranda;HISTÓRIA DO SERTÃO;O sertanejo quando pega na viola...
Roberta Miranda;MEU DENGO;Vem cá meu dengo ai ai ai ai ai
CANTOR;TÍTULO;INÍCIO DA LETRA
Roberta Miranda;NO CORAÇÃO A PAIXÃO NA CABEÇA O CIÚM;Depois de tanta solidão mil vezes o meu coração.
Roberta Miranda;POBRE ESPERANÇA;Pobre coração vivendo de saudades
Roberta Miranda;SÃO TANTAS COISAS;São tantas coisas só nós sabemos
Roberta Miranda;SEMPRE MAIS;Sinto... você insiste em dizer...
Roberta Miranda;VÁ COM DEUS;A cada dia que se passa
Roberta Sá;A VIZINHA DO LADO;A vizinha quando passa com seu...
Roberta Sá;AMOR BLUE;Um gato de olhos azuis olhando a lua
Roberta Sá;GIRANDO NA RENDA;É no samba de roda eu vou
Roberta Sá;JANEIROS;É como o vento leve em seu lábio ass
Roberta Sá;PELAS TABELAS;Ando com minha cabeça já pelas tabelas
Roberta Sá;SAMBA DE AMOR E ÓDIO;Não há abrigo conta o mal
Roberta Sá e Lenine;FOGO E GASOLINA;Você é um avião eu sou um edifício
Roberto Carlos;A GAROTA DO BAILE;Quem não acreditar
Roberto Carlos;A GUERRA DOS MENINOS;Hoje eu tive um sonho que foi o mais...
Roberto Carlos;A MENINA E O POETA;Virgem menina morena
Roberto Carlos;A NAMORADA;Você que vem dentro da
Roberto Carlos;ABRAZAME ASÍ;Abrazame así
Roberto Carlos;AMADA AMANTE;Esse amor demais antigo
Roberto Carlos;AMANTE À MODA ANTIGA;Eu sou aquele amante à moda antiga
Roberto Carlos;AMIGO;Você, meu amigo de fé, meu irmão
Roberto Carlos;AMOR SEM LIMITE;Quando agente ama alguém de verdade...
Roberto Carlos;AQUELE BEIJO QUE TE DEI;Aquele beijo que te dei
Roberto Carlos;ARRASTA UMA CADEIRA;Amigo arrasta uma cadeira
Roberto Carlos;AS BALEIAS;Não é possível que você suporte a
Roberto Carlos;AS CANÇÕES QUE VOCÊ FEZ PRA MIM;Hoje eu ouço as canções que você
Roberto Carlos;AS CURVAS DA ESTRADA DE SANTOS;Se você pretende saber quem eu sou..
Roberto Carlos;BRUCUTU;Olha o Brucutu Brucutu
Roberto Carlos;CAFÉ DA MANHÃ;Amanhã de manhã vou pedir o café
Roberto Carlos;CAMA E MESA;Eu quero ser a sua canção...
Roberto Carlos;CAMINHONEIRO;Todo dia quando eu pego a estrada...
Roberto Carlos;CANZONE PER TE;La festa appena cominciata
Roberto Carlos;CAVALGADA;Vou cavalgar por toda a noite...
Roberto Carlos;COISA BONITA;Amo você assim
Roberto Carlos;COMO DOIS É DOIS;Quando você me ouvir cantar venha não creia
Roberto Carlos;COMO É BOM SABER;Ao contrário do que eu esperava
Roberto Carlos;COMO É GRANDE O MEU AMOR POR VOCÊ;Eu tenho tanto pra lhe falar
Roberto Carlos;COMO VAI VOCÊ?;Como vai você, eu preciso saber da sua vida
Roberto Carlos;CORAÇÃO;Com o coração na voz e o grito mais feroz
Roberto Carlos;CORRO DEMAIS;Meu bem qualquer instante que eu
Roberto Carlos;CUSTE O QUE CUSTAR;Já não sei dizer se sou feliz ou não...
Roberto Carlos;DE QUE VALE TUDO ISSO;De que vale tudo isso se você não es
Roberto Carlos;DE TANTO AMOR;Ah! Eu vim aqui amor só pra me...
Roberto Carlos;DESABAFO;Por que me arrasto aos seus pés
Roberto Carlos;DETALHES;Não adianta dem tentar
Roberto Carlos;É PAPO FIRME;Essa garota é papo firme
Roberto Carlos;E POR ISSO ESTOU AQUI;Olha dentro dos meus olhos...
Roberto Carlos;É TEMPO DE AMAR;Nunca mais me fale assim
Roberto Carlos;EMOÇÕES;Quando eu estou aqui
Roberto Carlos;ESPERANDO VOCÊ;Não sei por que acreditei
Roberto Carlos;ESQUEÇA (FORGET HIM);Esqueça se ele não te ama
Roberto Carlos;ESSE CARA SOU EU;O cara que pensa em você toda hora
Roberto Carlos;EU E ELA;Um grande amor começa agora
Roberto Carlos;EU PRECISO DE VOCÊ;Eu preciso de você
Roberto Carlos;EU QUERO APENAS;Eu quero apenas olhar os campos
Roberto Carlos;EU SOU TERRÍVEL;Eu sou terrível e é bom parar
Roberto Carlos;EU TE DAREI O CÉU;Eu te darei o céu meu bem...
Roberto Carlos;FALANDO SÉRIO;Falando sério
Roberto Carlos;FERA FERIDA;Acabei com tudo, escapei com vida
Roberto Carlos;FOLHAS DE OUTONO;As folhas caem o inverno já chegou
Roberto Carlos;FORÇA ESTRANHA;Eu vi um menino correndo eu vi o tempo...
Roberto Carlos;FURDÚNCIO;Onde ela vai eu vou onde ela está eu estou
Roberto Carlos;HISTÓRIA DE UM HOMEM MAU;Eu vou contar pra todos
Roberto Carlos;ILEGAL, IMORAL OU ENGORDA;Vivo condenado a fazer o que não
Roberto Carlos;LADY LAURA;Tenho às vezes vontade deser...
Roberto Carlos;LOBO MAU;Eu sou do tipo que não gosta
Roberto Carlos;LUZ DIVINA;Luz que me ilumina o caminho
Roberto Carlos;MEU QUERIDO, MEU VELHO, MEU AMIGO;Esses seus cabelos brancos bonitos
Roberto Carlos;MEXERICO DA CANDINHA;A Candinha vive a falar de mim em tu
Roberto Carlos;MULHER DE 40;Sorriso bonito olhar de quem sabe
Roberto Carlos;MULHER PEQUENA;Quando uma mulher pequena
Roberto Carlos;NAMORADINHA DE UM AMIGO MEU;Estou amando loucamente...
Roberto Carlos;NÃO SE ESQUEÇA DE MIM;Onde você estiver não se esqueça
Roberto Carlos;NEGRO GATO;Eu sou o negro gato de arrepiar....
Roberto Carlos;NINGUÉM VAI TIRAR VOCÊ DE MIM;Não me canso de falar que te amo
Roberto Carlos;NOITE DE TERROR;Fazia noite fria eu logo fui dormir
Roberto Carlos;NOSSA SENHORA;Cubra-me com seu manto de amor...
Roberto Carlos;NOSSO AMOR;Nosso amor não é possível terminar
Roberto Carlos;O CALHAMBEQUE;Essa é uma das muitas...
Roberto Carlos;O CÔNCAVO E O CONVEXO;Nosso amor é demais
Roberto Carlos;O GRANDE AMOR DA MINHA VIDA;A primeira vez que eu te vi ...
Roberto Carlos;O PORTÃO;Eu cheguei em frente ao portão
Roberto Carlos;O PROGRESSO;Eu queria poder afagar uma fera
Roberto Carlos;O SÓSIA;Tudo começou quando certo dia
Roberto Carlos;OS SETE CABELUDOS;Tudo começou quando Lili foi à esquina
CANTOR;TÍTULO;INÍCIO DA LETRA
Roberto Carlos;OS SEUS BOTÕES;Os botões da blusa que você usava
Roberto Carlos;OUTRA VEZ;Você foi o maior dos meus casos
Roberto Carlos;PAREI NA CONTRAMÃO;Vinha voando no meu carro
Roberto Carlos;PAREI, OLHEI;Parou olhou
Roberto Carlos;PEGA LADRÃO;Estava com um broto no portão
Roberto Carlos;PROPOSTA;Eu te proponho nós nos amarmos...
Roberto Carlos;QUANDO;Quando você se separou de mim
Roberto Carlos;QUERO QUE VÁ TUDO PRO INFERNO;De que vale o céu azul e o sol
Roberto Carlos;ROSINHA;Oh Rosa Rosinha
Roberto Carlos;ROTINA;O sol ainda não chegou e o relógio há pouco
Roberto Carlos;SE VOCÊ PENSA;Se você pensa que vai fazer de mim
Roberto Carlos;SÓ VOU GOSTAR DE QUEM GOSTA DE MIM;De hoje em diante
Roberto Carlos;SUA ESTUPIDEZ;Meu bem meu bem você tem que...
Roberto Carlos;TEM COISAS QUE A GENTE NÃO TIRA DO CO;Que bom te encontrar
Roberto Carlos;TODOS ESTÃO SURDOS;La larara...Desde o começo...
Roberto Carlos;UN GATTO NEL BLU;Quando era bambino che allegria
Roberto Carlos;VÊ SE VOLTA PRA MIM;Deixa que eu me acerte com
Roberto Carlos;VOCÊ DEIXOU ALGUÉM A ESPERAR;Você deixou alguém a esperar
Roberto Carlos;VOCÊ NÃO SERVE PRA MIM;Não fique triste não se zangue...
Roberto Carlos;EU DISSE ADEUS;Eu disse adeus
Roberto Carlos e Balão Mágico;É TÃO LINDO;Se tem bigodes de foca nariz de taman
Roberto Leal;BATE O PÉ;Ai bate o pé bate o pé bate o pé
Roberto Leal;CASA PORTUGUESA;Numa casa Portuguesa fica bem
Roberto Leal;DEIXA VIR O NATAL;O ano inteiro o mundo é cruel
Roberto Leal;O IMIGRANTE;Tantos sonhos são desfeitos
Roberto Leal;VERDE VINHO;Ninguém na rua na noite fria
Roberto Livi;MARIA ISABEL;A praia estava deserta o sol surgia
Roberto Muller;ENTRE ESPUMAS;Uma noite sentou-se à minha mesa
Roberto Ribeiro;TODO MENINO É UM REI;Todo menino é um rei
Roberto Trevisan;UM MATUTO EM NEW YORK;Sou um matuto mas sou matuto de luxo
Robinson Monteiro;PRA SEMPRE EU VOU TE AMAR;Sei que nada vai mudar...
Rockwell;KNIFE;You touched my life
Rod Stewart;I DON'T WANT TO TALK ABOUT IT;I can tell by your eyes
Rod Stewart;SAILING;I am sailing I am sailing
Rod Stewart;SOME GUYS HAVE ALL THE LUCK;Some guys have all the luck…
Rodrigo Faro;NÃO DIGA NADA;Olha pra mim não diga nada...
Rodrigo Santos;NÃO VÁ;Tenho saudades da nossa conversa
Rodrigo Santos;PÃO-DURO;Chegou o pão-duro
Rodriguinho;LUZ NA ESCURIDÃO;Por que será que toda vez que eu te ve
Rodriguinho;PALAVRA DE AMIGO;Quantas vezes eu vou ter que te falar
Rodriguinho e Nana Damasceno;O AMOR VENCEU;Conto os dias conto as horas
Rodriguinho e Thiaguinho;FATALMENTE;Passei a vida inteira
Roger e Robson;LINDA MENINA;Linda... menina linda
Roger e Robson-Eduardo Costa;QUÍMICA;Vai encarar ou me deixar aqui falando
Rolando Boldrin;MANHÃ BONITA;Manhã bonita apaixonada vem pra fest
Rolling Stones;(I CAN'T GET NO) SATISFACTION;I can't get no satisfaction
Rolling Stones;ANGIE;Angie, Angie
Rolling Stones;AS TEARS GO BY;It is the evening of the day
Rolling Stones;JUMPIN' JACK FLASH;Wah-choo!
Rolling Stones;LADY JANE;My sweet Lady Jane
Rolling Stones;RUBY TUESDAY;She would never say where she came from
Rolling Stones;WILD HORSES;Childhood living is easy to do
Ronaldo e os Barcelos;FELIZ ANIVERSÁRIO;Feliz aniversário meu amor espero
Ronaldo Resedá;KITCH ZONA SUL;A vida que eu imaginei
Ronaldo Resedá;MARROM GLACÊ;Chanpagne no gelo salgados e doces...
Ronnie Von;A PRAÇA;Hoje eu acordei com saudades de você
Ronnie Von;CACHO DE UVA;Assim como a brisa
Ronnie Von;CACHOEIRA;Tantos mistérios pra desvendar...
Ronnie Von;DIA DE FOLGA;Eu almoço sozinho e você ainda na c
Ronnie Von;MEU BEM;Se você quiser ouvir então a minha história
Ronnie Von;TEMPO DE ACORDAR;Eu acordei e notei
Rosa Passos;LADEIRA DA PREGUIÇA;Essa ladeira que ladeira é essa
Rosana;AMOR DIVIDIDO;Nem sempre a vida vem
Rosana;CUSTE O QUE CUSTAR;Guarde um pedacinho de você
Rosana;DIRETO NO OLHAR;Eu saio dos teus mistérios
Rosana;MÚSICA E LÁGRIMA;O rádio então tocou a música outra v
Rosana;NEM UM TOQUE;Tanta coisa pra dizer e a gente nem se
Rosana;O AMOR E O PODER;A musica na sombra o ritmo no ar...
Rosana;ONDE O AMOR ME LEVA;Não eu digo com certeza
Rosana;ORAÇÃO (Disney);Se alguém está me ouvindo
Rose Nascimento;VITÓRIA DE ELIAS;A bíblia nos fala de um homem de Deus...
Rose Nascimento;FIEL POR TODA VIDA;Se alguém tentar te humilhar
Rose Nascimento;SEMPRE FIEL;Deus sempre abre uma porta pra livrar
Rosemary;JÓIA;Como jóia rara que precisa ser...
Rouge;BEIJO MOLHADO;Quero tanto espero tanto seu beijo…
Rouge;BLÁ BLÁ BLÁ;Você sabe tudo pra ensinar...
Rouge;BRILHA LA LUNA;Quero uma noite pra bailar o zouk…
Rouge;NÃO DÁ PRA RESISTIR;Eu não quero confessar…
Rouge;PÁ PÁ LÁ LÁ;Quando te vejo assim
Rouge;RAGATANGA (ASEREJÉ);Olha lá quem vem virando a esquina…
Rouge;UM ANJO VEIO ME FALAR;Tão difícil entender o coração...
Rouge e KLB;NUNCA DEIXE DE SONHAR;Há uma luz em algum lugar…
Roupa Nova;À FLOR DA PELE;Ninguém merece solidão fala pro
Roupa Nova;A FORÇA DO AMOR;Abriu minha visão no jeito do amor
CANTOR;TÍTULO;INÍCIO DA LETRA
Roupa Nova;A VIAGEM;Há tanto tempo que eu deixei você
Roupa Nova;AMAR É...;Amar...é quando não dá mais pra
Roupa Nova;ANJO;Se você vê estrelas demais lembre
Roupa Nova;BEM MAIOR;Bem maior que os mares
Roupa Nova;BEM SIMPLES;Tudo bem simples tudo bem natural...
Roupa Nova;CANÇÃO DE VERÃO;É como um sol de verão queimando...
Roupa Nova;CHAMA;Pelo brilho da manhã sinto acesa a c
Roupa Nova;CLAREAR;Clarear baby clarear
Roupa Nova;COM VOCÊ FAZ SENTIDO;Mais um sinal pessoas passam por mim
Roupa Nova;COMEÇO, MEIO E FIM;A vida tem sons que pra gente ouvir
Roupa Nova;CORAÇÃO PIRATA;Na najê .....O meu coração pirata......
Roupa Nova;CORAÇÕES PSICODÉLICOS;Ainda me lembro daquele beijo
Roupa Nova;CRISTINA;Sua boca na minha, seus olhos fechados
Roupa Nova;DE VOLTA PRO FUTURO;Sou o mesmo que te amou não me diga
Roupa Nova;DEIXA O AMOR ACONTECER;Qualquer coisa no meu coração...
Roupa Nova;DONA;Dona desses traiçoeiros
Roupa Nova;JÁ NEM SEI MAIS;Às vezes não entendo o frio…
Roupa Nova;LINDA DEMAIS;Linda só você me fascina te desejo
Roupa Nova;MARGARIDA;Andei terras do meu reino em vão…
Roupa Nova;ME FAÇA UM FAVOR;Quero que você me faça um favor
Roupa Nova;MEU UNIVERSO É VOCÊ;Mais que a luz das estrelas ah ah...
Roupa Nova;MUITO MAIS;Melhor acreditar…
Roupa Nova;NATAL TODO DIA;Um clima de sonho se espalha no ar
Roupa Nova;NOSSA HISTÓRIA;Hoje eu venho outra vez meu lugar
Roupa Nova;OS CORAÇÕES NÃO SÃO IGUAIS;Você tem o tempo que quiser
Roupa Nova;RAZÃO DE VIVER;Lá no final há um lugar
Roupa Nova;SAPASTO VELHO;Você lembra lembra...
Roupa Nova;SEGUINDO NO TREM AZUL;Confessar sem medo de mentir
Roupa Nova;SENSUAL;Nada a dizer antes de sentir...
Roupa Nova;SHOW DE ROCK'N ROLL;Ela só se liga em astrologia...
Roupa Nova;TÍMIDA;Lábios com sabor de hortelã...
Roupa Nova;UM ANJO MUITO ESPECIAL;Anjo anjo... uô ôh u-ôh u-ôh ôh
Roupa Nova;VOCÊ NO CORAÇÃO;Não sei porque
Roupa Nova;VOLTA PRA MIM;Amanheci sozinho na cama num vazio
Roupa Nova;WHISKY A GO-GO;Foi numa festa gelo e cuba libre
Roupa Nova e Cláudia Leite;UM SONHO A DOIS;Ela sabe o jeito de agradar
Roupa Nova e Ivete Sangalo;O SAL DA TERRA;Vamos precisar de todo mundo
Roxette;DRESSED FOR SUCCESS;Tried to make it little by little
Roxette;FADING LIKE A FLOWER;In a time where the sun descends alone
Roxette;IT MUST HAVE BEEN LOVE;It must have been love But it’s over now...
Roxette;JOYRIDE;Hello you fool I love you
Roxette;LISTEN TO YOUR HEART;I know there's somethin'
Roxette;SPENDING MY TIME;What’s the time...
Roxette;THE LOOK;One two three four
Roy Orbison;ONLY THE LONELY;Only the lonely you know the way
Roy Orbison;PRETTY WOMAN;Pretty woman walking down the street...
Roy Orbison;YOU GOT IT;Every time I look into your lovely eyes
Royce do Cavaco;A SAUDADE DÓI;Não ligue pro que aconteceu
Royce do Cavaco;FRENTE A FRENTE;A gente se enganou pensando que era
Royce do Cavaco;MEU CORAÇÃO É TEU;Infelizmente nós somos assim
Royce do Cavaco;SÓ VOCÊ;Quando a luz se apaga
RPM;A CRUZ E A ESPADA;Havia um tempo em que eu vivia
RPM;ALVORADA VORAZ;Virada do século alvorada...
RPM;LOURAS GELADAS;Disfarça e faz que nem me viu...
RPM;OLHAR 43;Seu corpo é o fruto proibido
RPM;ONDE ESTÁ O MEU AMOR;Onde está o meu amor…
RPM;RÁDIO PIRATA;Abordar navios mercantes...
RPM;RAINHA;Vem como uma chuva de verão…
RPM;REVOLUÇÕES POR MINUTO;Sinais de vida no país vizinho
RPM;VIDA REAL;Se você pudesse me dizer...
Rud e Robson;TATUAGEM;Quanto mais eu penso O tempo passa
